town_or_estate,Region
Ang Mo Kio,Central
Bedok,East
Bishan,Central
Bukit Batok,West
Bukit Merah,Central
Bukit Panjang,West
Bukit Timah,Central
Central Area,Central
Choa Chu Kang,West
Clementi,West
Geylang,Central
Hougang,North-East
Jurong East,West
Jurong West,West
Kallang/Whampoa,Central
Marine Parade,Central
Pasir Ris,East
Punggol,North-East
Queenstown,West
Sembawang,North
Sengkang,North-East
Serangoon,North-East
Tampines,East
Toa Payoh,Central
Woodlands,North
Yishun,North
Tengah,West
Outram,Central
